id1,id2,numax1,numax2,sep_arcsec,teff1,teff2,rad1,rad2,dist1,dist2
349306198,349306207,34.078454500240625,34.240090944396364,46.65116291875381,4867.0,5070.0,4.885,2.747,1270.11,923.531
349306202,349306198,34.216227548814565,34.078454500240625,29.64449655511568,4541.1,4867.0,13.002,4.885,856.279,1270.11
349306202,349306207,34.216227548814565,34.240090944396364,30.521366453609765,4541.1,5070.0,13.002,2.747,856.279,923.531
349306207,349306198,34.240090944396364,34.078454500240625,46.65116291875863,5070.0,4867.0,2.747,4.885,923.531,1270.11
349306207,349306202,34.240090944396364,34.216227548814565,30.521366453606756,5070.0,4541.1,2.747,13.002,923.531,856.279
453097428,453097429,44.40633144321552,42.88647515641785,26.327627281284805,4946.0,5001.0,10.779,3.076,971.83,872.195
453097428,453097421,44.40633144321552,46.86875897568092,88.46486589642596,4946.0,4888.0,10.779,7.375,971.83,1233.22
453097429,453097428,42.88647515641785,44.40633144321552,26.327627281284823,5001.0,4946.0,3.076,10.779,872.195,971.83
453097429,453097421,42.88647515641785,46.86875897568092,71.5684468822164,5001.0,4888.0,3.076,7.375,872.195,1233.22
141268578,141268574,14.980703158059026,14.486840241400529,31.348555089536553,4471.0,5088.0,17.501,8.962,1225.93,2974.92
453097421,453097428,46.86875897568092,44.40633144321552,88.46486589642457,4888.0,4946.0,7.375,10.779,1233.22,971.83
453097421,453097429,46.86875897568092,42.88647515641785,71.56844688221132,4888.0,5001.0,7.375,3.076,1233.22,872.195
141268574,141268578,14.486840241400529,14.980703158059026,31.348555089535193,5088.0,4471.0,8.962,17.501,2974.92,1225.93
300705295,300705302,28.6977397561432,30.40248095659009,39.16959528002976,4757.0,4835.0,10.52,10.539,654.962,1226.35
300705302,300705295,30.40248095659009,28.6977397561432,39.16959528002989,4835.0,4757.0,10.539,10.52,1226.35,654.962
349832704,349834512,32.76046162625276,34.44856405193162,134.19025978167784,4695.0,4811.0,11.114,10.018,2168.19,1516.12
